Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,117.4,117.86,118.24,116.8,1400000.0,0.0,TROW
2018-01-23,118.08,117.5,118.36,117.0,1330000.0,0.0058,TROW
2018-01-24,117.71,118.62,119.12,116.5,1230000.0,-0.0031,TROW
2018-01-25,117.35,118.16,118.31,116.73,1200000.0,-0.0031,TROW
2018-01-26,119.99,117.88,119.99,117.15,1600000.0,0.0225,TROW
2018-01-29,117.55,119.97,120.07,117.28,2170000.0,-0.0203,TROW
2018-01-30,112.51,115.0,115.0,111.0,2400000.0,-0.0429,TROW
2018-01-31,111.63,112.46,112.72,110.39,4150000.0000000005,-0.0078000000000000005,TROW
2018-02-01,112.16,110.62,112.72,110.61,1470000.0,0.004699999999999999,TROW
2018-02-02,109.89,111.39,112.68,109.5,2510000.0,-0.0202,TROW
2018-02-05,105.25,109.47,111.11,104.66,2660000.0,-0.042199999999999994,TROW
2018-02-06,106.97,101.98,107.55,100.64,3210000.0,0.0163,TROW
2018-02-07,106.52,106.92,108.88,106.32,2330000.0,-0.0042,TROW
2018-02-08,101.99,106.78,107.77,101.87,3180000.0,-0.0425,TROW
2018-02-09,103.41,104.04,104.31,99.35,3630000.0,0.0139,TROW
2018-02-12,104.93,104.44,106.4,104.1,2370000.0,0.0147,TROW
2018-02-13,105.73,103.94,105.88,103.21,2150000.0,0.0076,TROW
2018-02-14,108.32,105.09,108.41,104.51,1280000.0,0.0245,TROW
2018-02-15,109.56,109.03,109.94,107.02,1850000.0,0.011399999999999999,TROW
2018-02-16,110.49,108.9,111.31,108.17,1420000.0,0.0085,TROW
2018-02-20,109.91,109.77,110.97,108.74,2210000.0,-0.0052,TROW
2018-02-21,109.95,110.27,113.25,109.78,1860000.0,0.0004,TROW
2018-02-22,110.42,110.86,111.96,110.21,1450000.0,0.0043,TROW
2018-02-23,112.3,110.86,112.32,110.42,1540000.0,0.017,TROW
2018-02-26,114.15,112.29,114.19,111.74,1350000.0,0.0165,TROW
2018-02-27,112.39,114.17,115.39,112.33,1530000.0,-0.0154,TROW
2018-02-28,111.9,113.35,114.62,111.88,1930000.0,-0.0044,TROW
2018-03-01,110.08,112.24,112.7,109.36,1750000.0,-0.0163,TROW
2018-03-02,110.33,109.56,110.55,108.16,1410000.0,0.0023,TROW
2018-03-05,111.85,109.69,112.1,109.35,1220000.0,0.0138,TROW
2018-03-06,113.36,112.19,113.55,111.5,1040000.0,0.013500000000000002,TROW
2018-03-07,113.09,111.82,113.59,111.0,1160000.0,-0.0024,TROW
2018-03-08,114.17,113.53,114.49,112.19,919310.0,0.0095,TROW
2018-03-09,117.6,115.0,117.78,114.86,939290.0,0.03,TROW
2018-03-12,117.09,117.6,119.0,116.94,1040000.0,-0.0043,TROW
2018-03-13,116.97,117.25,119.07,116.61,1490000.0,-0.001,TROW
2018-03-14,115.5,117.07,117.33,114.87,1430000.0,-0.0126,TROW
2018-03-15,115.41,115.73,116.0,114.69,1040000.0,-0.0008,TROW
2018-03-16,115.54,115.56,117.16,115.45,4290000.0,0.0011,TROW
2018-03-19,113.36,115.35,115.39,112.03,1860000.0,-0.0189,TROW
2018-03-20,112.0,113.74,114.49,111.67,3280000.0,-0.012,TROW
2018-03-21,112.58,112.37,114.65,111.51,2970000.0,0.0052,TROW
2018-03-22,107.64,111.13,111.34,107.44,2680000.0,-0.043899999999999995,TROW
2018-03-23,104.65,108.24,108.26,104.47,2870000.0,-0.0278,TROW
2018-03-26,108.34,106.75,108.69,105.51,1640000.0,0.0353,TROW
2018-03-27,106.1,108.81,109.72,105.59,2370000.0,-0.0207,TROW
2018-03-28,105.79,106.71,107.11,104.75,2140000.0,-0.0029,TROW
2018-03-29,107.97,106.18,109.04,105.28,1260000.0,0.0206,TROW
2018-04-02,104.67,107.54,107.79,102.9,1740000.0,-0.030600000000000002,TROW
2018-04-03,106.44,105.08,106.5,104.27,1490000.0,0.0169,TROW
2018-04-04,107.57,104.49,107.93,103.5,1690000.0,0.0106,TROW
2018-04-05,107.53,108.53,108.87,106.91,1070000.0,-0.0004,TROW
2018-04-06,104.38,106.23,107.2,103.27,1510000.0,-0.029300000000000003,TROW
2018-04-09,104.93,104.98,107.29,104.77,1400000.0,0.0053,TROW
2018-04-10,106.74,106.56,107.62,105.98,1220000.0,0.0172,TROW
2018-04-11,106.2,105.47,107.11,105.11,1830000.0,-0.0051,TROW
2018-04-12,108.05,107.18,108.99,106.41,965920.0,0.0174,TROW
2018-04-13,107.11,109.14,109.15,106.55,1230000.0,-0.0087,TROW
2018-04-16,107.95,108.05,108.45,107.06,1710000.0,0.0078000000000000005,TROW
2018-04-17,109.23,109.27,110.24,108.34,1180000.0,0.011899999999999999,TROW
2018-04-18,108.88,109.82,110.1,108.44,1320000.0,-0.0032,TROW
2018-04-19,108.83,108.61,110.15,108.2,1300000.0,-0.0005,TROW
2018-04-20,108.44,109.27,109.55,107.76,1160000.0,-0.0036,TROW
2018-04-23,108.62,109.18,109.37,107.95,824770.0,0.0017000000000000001,TROW
2018-04-24,107.37,109.48,109.61,105.9,1920000.0,-0.0115,TROW
2018-04-25,111.0,108.37,112.39,107.56,2089999.9999999998,0.0338,TROW
2018-04-26,112.3,111.62,113.25,109.8,1560000.0,0.011699999999999999,TROW
2018-04-27,114.02,112.31,114.17,111.74,1410000.0,0.015300000000000001,TROW
2018-04-30,113.82,114.54,115.26,113.79,1450000.0,-0.0018,TROW
2018-05-01,111.25,111.99,113.71,110.35,1500000.0,-0.0226,TROW
2018-05-02,110.6,111.1,111.67,110.36,1280000.0,-0.0058,TROW
2018-05-03,109.44,109.71,110.35,107.26,1140000.0,-0.0105,TROW
2018-05-04,111.97,108.91,112.68,108.35,939380.0,0.0231,TROW
2018-05-07,113.47,112.1,114.08,111.57,1000000.0,0.0134,TROW
2018-05-08,114.17,113.16,115.03,112.6,1240000.0,0.0062,TROW
2018-05-09,116.66,114.88,117.53,113.1,2650000.0,0.0218,TROW
2018-05-10,117.59,116.87,118.37,116.06,1310000.0,0.008,TROW
2018-05-11,118.22,117.86,118.8,116.66,844410.0,0.0054,TROW
2018-05-14,118.01,118.56,119.47,117.41,990600.0,-0.0018,TROW
2018-05-15,117.14,117.1,117.94,116.68,1120000.0,-0.0074,TROW
2018-05-16,120.75,119.71,121.8,119.37,1800000.0,0.0308,TROW
2018-05-17,120.63,120.34,121.05,119.28,1050000.0,-0.001,TROW
2018-05-18,120.59,119.6,121.02,116.07,1270000.0,-0.0003,TROW
2018-05-21,121.94,121.33,122.36,120.79,732740.0,0.011200000000000002,TROW
2018-05-22,122.66,122.0,123.47,121.83,793900.0,0.0059,TROW
2018-05-23,121.55,121.66,122.15,120.51,1020000.0,-0.009000000000000001,TROW
2018-05-24,121.38,121.61,121.69,120.04,764500.0,-0.0014000000000000002,TROW
2018-05-25,121.38,120.65,121.78,120.28,605530.0,0.0,TROW
2018-05-29,118.73,120.14,120.69,118.3,1180000.0,-0.0218,TROW
2018-05-30,122.29,119.77,122.99,119.11,1360000.0,0.03,TROW
2018-05-31,121.42,121.58,122.95,120.8,1980000.0,-0.0070999999999999995,TROW
2018-06-01,122.9,122.46,123.13,121.9,895500.0,0.012199999999999999,TROW
2018-06-04,123.19,123.56,123.84,122.6,925890.0,0.0024,TROW
2018-06-05,122.52,122.93,123.62,122.11,839680.0,-0.0054,TROW
2018-06-06,126.19,123.07,126.42,123.07,1360000.0,0.03,TROW
2018-06-07,125.22,126.27,127.43,124.31,1000000.0,-0.0077,TROW
2018-06-08,125.98,124.8,126.17,124.25,645760.0,0.0060999999999999995,TROW
2018-06-11,125.86,126.44,126.83,125.69,645410.0,-0.001,TROW
2018-06-12,126.24,126.49,127.04,125.42,801480.0,0.003,TROW
