Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,330.0,340.0,340.26,329.31,1440000.0,-0.0403,CMG
2018-01-23,328.71,330.0,334.39,327.99,1230000.0,-0.0039000000000000003,CMG
2018-01-24,329.53,329.92,331.94,324.27,786770.0,0.0025,CMG
2018-01-25,333.97,330.34,335.18,329.6,573940.0,0.013500000000000002,CMG
2018-01-26,330.23,332.56,332.56,326.77,665600.0,-0.011200000000000002,CMG
2018-01-29,332.33,327.0,336.24,325.0,764790.0,0.0064,CMG
2018-01-30,322.08,329.69,331.19,313.01,1930000.0,-0.0308,CMG
2018-01-31,324.76,322.87,330.0,321.68,737160.0,0.0083,CMG
2018-02-01,314.72,314.06,315.2,306.2,1650000.0,-0.030899999999999997,CMG
2018-02-02,311.64,313.81,317.5,310.85,951980.0,-0.0098,CMG
2018-02-05,300.3,310.88,314.36,299.17,1350000.0,-0.0364,CMG
2018-02-06,304.33,296.8,305.46,293.55,2089999.9999999998,0.0134,CMG
2018-02-07,272.21,273.64,279.7,268.04,4780000.0,-0.10550000000000001,CMG
2018-02-08,266.01,270.17,271.11,265.0,1890000.0,-0.022799999999999997,CMG
2018-02-09,255.46,266.79,267.34,247.51,3060000.0,-0.0397,CMG
2018-02-12,254.45,257.0,259.16,249.31,1950000.0,-0.004,CMG
2018-02-13,251.33,254.13,257.96,250.62,1520000.0,-0.0123,CMG
2018-02-14,289.91,281.5,292.06,281.0,5380000.0,0.1535,CMG
2018-02-15,286.65,291.99,292.6,286.16,1210000.0,-0.011200000000000002,CMG
2018-02-16,305.63,287.0,306.0,286.76,2740000.0,0.0662,CMG
2018-02-20,317.57,304.47,322.25,300.0,2740000.0,0.0391,CMG
2018-02-21,320.96,318.0,324.44,316.01,1900000.0,0.010700000000000001,CMG
2018-02-22,313.91,320.04,324.47,311.67,1290000.0,-0.022000000000000002,CMG
2018-02-23,315.82,316.55,317.44,309.17,955340.0,0.0060999999999999995,CMG
2018-02-26,311.89,316.49,318.74,311.31,911040.0,-0.0124,CMG
2018-02-27,319.15,318.86,330.14,317.31,1750000.0,0.0233,CMG
2018-02-28,318.41,320.2,325.69,318.27,912630.0,-0.0023,CMG
2018-03-01,313.26,318.26,320.88,309.07,1100000.0,-0.016200000000000003,CMG
2018-03-02,319.99,310.34,320.85,309.03,843310.0,0.0215,CMG
2018-03-05,320.16,320.0,324.82,318.4,790310.0,0.0005,CMG
2018-03-06,318.04,322.25,322.74,315.16,535330.0,-0.0066,CMG
2018-03-07,319.95,315.86,320.09,314.88,384740.0,0.006,CMG
2018-03-08,321.86,321.0,324.78,315.95,537300.0,0.006,CMG
