Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,132.45,131.18,132.97,130.85,6160000.0,0.0118,IBM
2010-01-05,130.85,131.68,131.85,130.1,6840000.0,-0.0121,IBM
2010-01-06,130.0,130.68,131.49,129.81,5610000.0,-0.006500000000000001,IBM
2010-01-07,129.55,129.87,130.25,128.91,5840000.0,-0.0034999999999999996,IBM
2010-01-08,130.85,129.07,130.92,129.05,4200000.0,0.01,IBM
2010-01-11,129.48,131.06,131.06,128.67,5730000.0,-0.0105,IBM
2010-01-12,130.51,129.03,131.33,129.0,8080000.0,0.008,IBM
2010-01-13,130.23,130.39,131.12,129.16,6460000.0,-0.0021,IBM
2010-01-14,132.31,130.55,132.71,129.91,7110000.0,0.016,IBM
2010-01-15,131.78,132.03,132.89,131.09,8500000.0,-0.004,IBM
2010-01-19,134.14,131.63,134.25,131.56,13920000.0,0.0179,IBM
2010-01-20,130.25,130.46,131.15,128.95,15200000.0,-0.028999999999999998,IBM
2010-01-21,129.0,130.47,130.69,128.06,9610000.0,-0.0096,IBM
2010-01-22,125.5,128.67,128.89,125.37,10090000.0,-0.0271,IBM
2010-01-25,126.12,126.33,126.89,125.71,5740000.0,0.0049,IBM
2010-01-26,125.75,125.92,127.75,125.41,7140000.0,-0.0029,IBM
2010-01-27,126.33,125.82,126.96,125.04,8720000.0,0.0046,IBM
2010-01-28,123.75,127.03,127.04,123.05,9620000.0,-0.0204,IBM
2010-01-29,122.39,124.32,125.0,121.9,11570000.0,-0.011000000000000001,IBM
2010-02-01,124.67,123.23,124.95,122.78,7250000.0,0.018600000000000002,IBM
2010-02-02,125.53,124.79,125.81,123.95,5900000.0,0.0069,IBM
2010-02-03,125.66,125.16,126.07,125.07,4179999.9999999995,0.001,IBM
2010-02-04,123.0,125.19,125.44,122.9,9130000.0,-0.0212,IBM
2010-02-05,123.52,123.04,123.72,121.83,8620000.0,0.0042,IBM
2010-02-08,121.88,123.15,123.22,121.74,5720000.0,-0.013300000000000001,IBM
2010-02-09,123.21,122.65,124.2,122.46,6040000.0,0.0109,IBM
2010-02-10,122.81,122.94,123.65,122.21,5220000.0,-0.0032,IBM
2010-02-11,123.73,122.58,124.2,122.06,5090000.0,0.0075,IBM
2010-02-12,124.0,123.01,124.05,121.61,8020000.0,0.0022,IBM
2010-02-16,125.23,124.91,125.23,124.11,6780000.0,0.009899999999999999,IBM
2010-02-17,126.33,125.5,126.53,125.21,5830000.0,0.0088,IBM
2010-02-18,127.81,126.13,128.0,126.0,5530000.0,0.011699999999999999,IBM
2010-02-19,127.19,127.35,128.06,126.87,6300000.0,-0.0049,IBM
2010-02-22,126.85,127.3,127.43,126.31,3810000.0,-0.0027,IBM
2010-02-23,126.46,126.48,127.66,126.0,4590000.0,-0.0031,IBM
2010-02-24,127.59,127.02,128.27,126.81,4780000.0,0.0089,IBM
2010-02-25,127.07,126.05,127.24,125.57,5660000.0,-0.0040999999999999995,IBM
2010-02-26,127.16,127.01,128.0,126.74,4780000.0,0.0007000000000000001,IBM
2010-03-01,128.57,127.5,128.83,127.47,4580000.0,0.0111,IBM
2010-03-02,127.42,128.7,129.09,127.13,6010000.0,-0.0089,IBM
2010-03-03,126.88,127.73,128.02,126.68,6390000.0,-0.0042,IBM
2010-03-04,126.72,127.07,127.07,125.47,6030000.0,-0.0013,IBM
2010-03-05,127.25,127.17,127.55,127.04,6140000.0,0.0042,IBM
2010-03-08,126.41,127.06,127.5,126.36,6200000.0,-0.0066,IBM
2010-03-09,125.55,126.27,126.29,125.2,7530000.0,-0.0068000000000000005,IBM
2010-03-10,125.62,125.98,126.36,125.21,6920000.0,0.0006,IBM
2010-03-11,127.6,125.71,127.81,125.71,7930000.0,0.0158,IBM
2010-03-12,127.94,127.91,128.37,127.51,5170000.0,0.0027,IBM
2010-03-15,127.83,127.4,128.34,127.28,4540000.0,-0.0009,IBM
2010-03-16,128.67,128.0,128.88,127.45,6140000.0,0.0066,IBM
2010-03-17,127.76,128.9,128.93,127.36,6350000.0,-0.0070999999999999995,IBM
2010-03-18,128.38,127.46,128.75,127.45,4950000.0,0.0049,IBM
2010-03-19,127.71,128.84,128.93,126.78,10740000.0,-0.0052,IBM
2010-03-22,127.98,127.11,128.39,126.57,5650000.0,0.0021,IBM
2010-03-23,129.37,127.94,129.43,127.64,5980000.0,0.0109,IBM
2010-03-24,128.53,128.63,129.95,128.47,6670000.0,-0.006500000000000001,IBM
2010-03-25,129.24,129.36,130.73,129.13,7610000.0,0.0055000000000000005,IBM
2010-03-26,129.26,128.93,129.78,128.72,5550000.0,0.0002,IBM
2010-03-29,128.59,129.3,129.95,128.26,4640000.0,-0.0052,IBM
2010-03-30,128.77,128.9,129.13,128.25,3430000.0,0.0014000000000000002,IBM
2010-03-31,128.25,128.23,128.75,127.65,4900000.0,-0.004,IBM
2010-04-01,128.25,128.95,129.31,127.55,4980000.0,0.0,IBM
2010-04-05,129.35,128.38,129.8,128.14,4120000.0,0.0086,IBM
2010-04-06,128.93,128.68,129.3,128.05,3930000.0,-0.0032,IBM
2010-04-07,128.48,128.53,129.27,128.01,5160000.0,-0.0034999999999999996,IBM
2010-04-08,127.61,128.04,128.23,127.2,6010000.0,-0.0068000000000000005,IBM
2010-04-09,128.76,127.88,128.87,127.12,5190000.0,0.009000000000000001,IBM
2010-04-12,128.36,128.57,128.96,128.24,3990000.0,-0.0031,IBM
2010-04-13,129.03,128.26,129.43,127.84,6820000.0,0.0052,IBM
2010-04-14,131.25,129.73,131.42,129.46,8550000.0,0.0172,IBM
2010-04-15,130.89,130.53,131.14,130.19,6430000.0,-0.0027,IBM
2010-04-16,130.63,130.68,132.17,130.25,9550000.0,-0.002,IBM
2010-04-19,132.23,130.38,132.28,130.38,11350000.0,0.012199999999999999,IBM
2010-04-20,129.69,129.2,130.33,128.26,15220000.0,-0.0192,IBM
2010-04-21,128.99,129.87,130.27,128.5,7560000.0,-0.0054,IBM
2010-04-22,129.13,128.64,129.36,127.77,6020000.0,0.0011,IBM
2010-04-23,129.99,129.08,130.1,128.71,6200000.0,0.0067,IBM
2010-04-26,130.73,129.76,131.04,129.54,5290000.0,0.005699999999999999,IBM
2010-04-27,128.82,129.9,132.0,128.71,10920000.0,-0.0146,IBM
2010-04-28,130.1,129.4,130.47,129.03,7120000.0,0.009899999999999999,IBM
2010-04-29,130.46,130.55,131.21,130.15,5790000.0,0.0028000000000000004,IBM
2010-04-30,129.0,130.43,130.64,128.84,6270000.0,-0.011200000000000002,IBM
2010-05-03,129.6,129.39,130.14,128.8,4990000.0,0.004699999999999999,IBM
2010-05-04,128.12,128.89,128.93,126.58,8289999.999999999,-0.011399999999999999,IBM
2010-05-05,127.46,127.12,128.23,126.87,6070000.0,-0.0052,IBM
2010-05-06,123.92,126.29,127.93,116.0,13170000.0,-0.0278,IBM
2010-05-07,122.1,123.36,124.39,120.0,10590000.0,-0.0147,IBM
2010-05-10,126.27,126.27,126.67,125.06,8460000.0,0.0342,IBM
2010-05-11,126.89,125.21,128.42,125.15,6500000.0,0.0049,IBM
2010-05-12,132.68,127.16,132.85,127.01,16629999.999999998,0.045599999999999995,IBM
2010-05-13,131.48,130.93,133.1,130.85,10500000.0,-0.009000000000000001,IBM
2010-05-14,131.19,131.06,131.67,129.41,9920000.0,-0.0022,IBM
2010-05-17,130.44,130.68,131.76,128.7,8920000.0,-0.005699999999999999,IBM
2010-05-18,129.95,131.26,131.99,129.9,9330000.0,-0.0038,IBM
2010-05-19,128.86,129.37,130.5,127.82,8670000.0,-0.0084,IBM
2010-05-20,123.8,127.22,127.96,123.68,13180000.0,-0.0393,IBM
2010-05-21,125.42,122.16,125.61,121.4,12640000.0,0.0131,IBM
2010-05-24,124.45,125.26,126.02,124.04,6880000.0,-0.0077,IBM
2010-05-25,124.52,121.47,124.95,121.47,9500000.0,0.0006,IBM
2010-05-26,123.23,124.89,125.94,123.0,9090000.0,-0.0104,IBM
2010-05-27,126.39,125.05,126.39,124.77,7730000.0,0.0256,IBM
2010-05-28,125.26,125.96,126.28,124.29,7420000.0,-0.0089,IBM
2010-06-01,124.34,124.69,126.88,124.2,7140000.0,-0.0073,IBM
2010-06-02,127.41,124.85,127.5,124.35,7710000.0,0.024700000000000003,IBM
2010-06-03,127.96,127.75,128.22,126.46,6650000.0,0.0043,IBM
2010-06-04,125.28,126.37,127.1,124.67,9670000.0,-0.0209,IBM
2010-06-07,124.13,125.57,125.86,124.13,6950000.0,-0.0092,IBM
2010-06-08,123.72,124.26,124.46,122.82,8400000.0,-0.0033,IBM
